Company,Job_title,Location,Salary,Links
PT Mitracomm Ekasarana,CUSTOMER CARE - YOGYAKARTA,Yogyakarta,"IDR 2,200,000 - IDR 2,600,000",https://www.jobstreet.co.id/id/job/customer-care-yogyakarta-4514686?jobId=jobstreet-id-job-4514686&sectionRank=1363&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT Ruang Kencana Indonesia,PA - Persona Assistant,Jakarta Selatan,"IDR 10,000,000 - IDR 15,000,000",https://www.jobstreet.co.id/id/job/pa-persona-assistant-4514490?jobId=jobstreet-id-job-4514490&sectionRank=1636&token=0~1d08b392-603d-4cf8-be40-3438bb9b0397&fr=SRP%20Job%20Listing
PT Prima Buana Internusa,Staff Fit Out,Jakarta Raya,"IDR 4,950,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/staff-fit-out-4516285?jobId=jobstreet-id-job-4516285&sectionRank=1664&token=0~b43f8ea0-227b-4f79-8707-1fe18b860b53&fr=SRP%20Job%20Listing
PT HEXA PRIMA ENERGY,Purchasing Staff,Jakarta Barat,"IDR 5,000,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/purchasing-staff-4515302?jobId=jobstreet-id-job-4515302&sectionRank=1516&token=0~7269ef9c-7c5e-4f51-9794-97b3eba48d90&fr=SRP%20Job%20Listing
PT Honda Prospect Motor,HR Administration Staff,Karawang,"IDR 8,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/hr-administration-staff-4514984?jobId=jobstreet-id-job-4514984&sectionRank=436&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT Neuroteknologi Edukasi Indonesia,Sales & Customer Support,Jakarta Raya,"IDR 4,800,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-customer-support-4517567?jobId=jobstreet-id-job-4517567&sectionRank=195&token=0~049678d9-f67a-42fa-825c-0dd3c9070d3e&fr=SRP%20Job%20Listing
PT Gerbang Bali,Reservation Supervisor,Badung,"IDR 8,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/reservation-supervisor-4518281?jobId=jobstreet-id-job-4518281&sectionRank=76&token=0~85db8393-1492-42e2-bac0-a5a10ccbf14f&fr=SRP%20Job%20Listing
PT. Gama Agro Sejati,BUSINESS DEVELOPMENT,Semarang,"IDR 4,500,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/business-development-4519025?jobId=jobstreet-id-job-4519025&sectionRank=345&token=0~b63339e4-722a-4e5f-a7a1-2963cb6531b9&fr=SRP%20Job%20Listing
PT Global Digital Niaga,Salesman Distribution Makassar,Makassar,"IDR 3,500,000 - IDR 4,200,000",https://www.jobstreet.co.id/id/job/salesman-distribution-makassar-4518480?jobId=jobstreet-id-job-4518480&sectionRank=1068&token=0~b12aad0d-ce7f-4b2e-925a-fc38787a2ad5&fr=SRP%20Job%20Listing
PT Bina Global Transport,ACCOUNTING TAX,Jakarta Utara,"IDR 8,000,000 - IDR 15,000,000",https://www.jobstreet.co.id/id/job/accounting-tax-4516601?jobId=jobstreet-id-job-4516601&sectionRank=945&token=0~daaef54d-577d-43ba-8c0c-bc3549836958&fr=SRP%20Job%20Listing
"PT Fastfood Indonesia, Tbk ( KFC )",STAFF AUDITOR,Jakarta Selatan,"IDR 6,500,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/staff-auditor-4516123?jobId=jobstreet-id-job-4516123&sectionRank=253&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
PT Giant Transporter Indonesia,Senior Accounting,Jakarta Utara,"IDR 7,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/senior-accounting-4516019?jobId=jobstreet-id-job-4516019&sectionRank=229&token=0~af8a99b7-4565-4a40-a9a2-75a6e3bca5c9&fr=SRP%20Job%20Listing
CV Kurnia Abadi Sarana Horeka,Sales GT,Bandung,"IDR 3,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-gt-4518016?jobId=jobstreet-id-job-4518016&sectionRank=1397&token=0~969a56c5-bc12-41aa-822a-6203e6a5bc90&fr=SRP%20Job%20Listing
PT Daya Karsa Abadi,Building Manager,Jakarta Pusat,"IDR 6,500,000 - IDR 9,100,000",https://www.jobstreet.co.id/id/job/building-manager-4518012?jobId=jobstreet-id-job-4518012&sectionRank=1128&token=0~7685761f-7cd2-460e-bd30-c338616c3175&fr=SRP%20Job%20Listing
PT Tip Top,Staff Drafter,Jakarta Timur,"IDR 4,901,800 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/staff-drafter-4516155?jobId=jobstreet-id-job-4516155&sectionRank=1754&token=0~608a6c2c-dd21-4f49-9247-da9edf28ab3c&fr=SRP%20Job%20Listing
PT Aditya Mandiri Sejahtera,Property Design,Jawa Barat,"IDR 4,500,000 - IDR 7,300,000",https://www.jobstreet.co.id/id/job/property-design-4518340?jobId=jobstreet-id-job-4518340&sectionRank=525&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
PT. Volten International Indonesia,GRAPHIC DESIGNER ( Diutamakan Berdomisili Jakarta ),Jakarta Barat,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/graphic-designer-diutamakan-berdomisili-jakarta-4518604?jobId=jobstreet-id-job-4518604&sectionRank=1700&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
pabrik air,Tekhnisi mesin produksi,Depok,"IDR 3,500,000 - IDR 4,900,000",https://www.jobstreet.co.id/id/job/tekhnisi-mesin-produksi-4517564?jobId=jobstreet-id-job-4517564&sectionRank=892&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT TRILLIUN PRIMA SUKSES (Surabaya),Foreman Warehouse,Surabaya,"IDR 4,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/foreman-warehouse-4518486?jobId=jobstreet-id-job-4518486&sectionRank=348&token=0~b63339e4-722a-4e5f-a7a1-2963cb6531b9&fr=SRP%20Job%20Listing
PT. HEXA DAYA SOLUSI,Safety Officer Leader,Tangerang,"IDR 7,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/safety-officer-leader-4517584?jobId=jobstreet-id-job-4517584&sectionRank=919&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
PT Asuransi Jiwa Sinarmas MSIG Tbk.,Telemarketing Jakarta,Jakarta Raya,"IDR 2,200,000 - IDR 3,080,000",https://www.jobstreet.co.id/id/job/telemarketing-jakarta-4516752?jobId=jobstreet-id-job-4516752&sectionRank=1612&token=0~07190b0c-aaf8-4128-9fc0-919b97badbb9&fr=SRP%20Job%20Listing
PT Lembah Tanahlot Permai,Sales Admin Staff (for Property),Bali,"IDR 3,000,000 - IDR 3,500,000",https://www.jobstreet.co.id/id/job/sales-admin-staff-for-property-4516534?jobId=jobstreet-id-job-4516534&sectionRank=1129&token=0~7685761f-7cd2-460e-bd30-c338616c3175&fr=SRP%20Job%20Listing
PT Propadu Konair Tarahubun (Plantation Key Technology),Staff Lapangan (Asisten / Mandor Kebun),Medan,"IDR 4,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/staff-lapangan-asisten-mandor-kebun-4518208?jobId=jobstreet-id-job-4518208&sectionRank=255&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
PT EVOLUSI TEKNOLOGI SOLUSI,Corporate Secretary,Jakarta Barat,"IDR 4,500,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/corporate-secretary-4518036?jobId=jobstreet-id-job-4518036&sectionRank=48&token=0~adbd6dd3-5959-47db-bb19-0260ad7ef617&fr=SRP%20Job%20Listing
PT Sinarmonas Industries,Staff LSMK3,Banten,"IDR 4,584,520 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/staff-lsmk3-4518442?jobId=jobstreet-id-job-4518442&sectionRank=466&token=0~fa33a9c2-ef25-4896-ae6f-cb49ef52425e&fr=SRP%20Job%20Listing
PT. BTR INDONESIA,Foreman Warehouse,Sulawesi Tengah,"IDR 6,000,000 - IDR 8,400,000",https://www.jobstreet.co.id/id/job/foreman-warehouse-4517667?jobId=jobstreet-id-job-4517667&sectionRank=440&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT. Mutiara Gemilang Indonesia,Sales Marketing,Jakarta Barat,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/sales-marketing-4517237?jobId=jobstreet-id-job-4517237&sectionRank=1423&token=0~a123045e-e805-4720-b5aa-1d52aaa35583&fr=SRP%20Job%20Listing
PT Artemi Zenith International,PROJECT MANAGER (JAKARTA),Jakarta Raya,"IDR 4,500,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/project-manager-jakarta-4518835?jobId=jobstreet-id-job-4518835&sectionRank=109&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT Dejavu Express,Supervisor Finance,Bogor,"IDR 5,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/supervisor-finance-4516147?jobId=jobstreet-id-job-4516147&sectionRank=1641&token=0~1d08b392-603d-4cf8-be40-3438bb9b0397&fr=SRP%20Job%20Listing
PT Reka Bumi Raya,Estimator,Bekasi,"IDR 8,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/estimator-4516400?jobId=jobstreet-id-job-4516400&sectionRank=1757&token=0~608a6c2c-dd21-4f49-9247-da9edf28ab3c&fr=SRP%20Job%20Listing
PT. TRIMA Global Indonesia,Operation Tour Staff,Tangerang,"IDR 7,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/operation-tour-staff-4516151?jobId=jobstreet-id-job-4516151&sectionRank=1424&token=0~a123045e-e805-4720-b5aa-1d52aaa35583&fr=SRP%20Job%20Listing
PT Leapfrog Indonesia,Sales B2B,Jakarta Utara,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-b2b-4516976?jobId=jobstreet-id-job-4516976&sectionRank=1669&token=0~b43f8ea0-227b-4f79-8707-1fe18b860b53&fr=SRP%20Job%20Listing
PT PAHAE MUARA ENERGI,Administration Staff,Depok,"IDR 3,750,000 - IDR 4,900,000",https://www.jobstreet.co.id/id/job/administration-staff-4517470?jobId=jobstreet-id-job-4517470&sectionRank=289&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
PT. BUNGSU PARAMESTI,Admin Sales,Jakarta Utara,"IDR 2,500,000 - IDR 3,500,000",https://www.jobstreet.co.id/id/job/admin-sales-4517109?jobId=jobstreet-id-job-4517109&sectionRank=800&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT EXPAND GLOBAL INDO,OPERATOR E-COMMERCE,Jakarta Barat,"IDR 4,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/operator-e-commerce-4516830?jobId=jobstreet-id-job-4516830&sectionRank=894&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT Exa Mitra Solusi,ADMIN DIGITAL MARKETING,Jakarta Raya,"IDR 4,900,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/admin-digital-marketing-4515724?jobId=jobstreet-id-job-4515724&sectionRank=1401&token=0~969a56c5-bc12-41aa-822a-6203e6a5bc90&fr=SRP%20Job%20Listing
PT LUMA TAMU RUMAH,Accounting Admin,Badung,"IDR 3,000,000 - IDR 4,200,000",https://www.jobstreet.co.id/id/job/accounting-admin-4518328?jobId=jobstreet-id-job-4518328&sectionRank=441&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
Deliveree (PT Angkut Teknologi Indonesia),Business Development Associate,Jakarta Raya,"IDR 6,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/business-development-associate-4516318?jobId=jobstreet-id-job-4516318&sectionRank=1248&token=0~b21ab8e8-4690-41a6-ab61-928f58cdf4d1&fr=SRP%20Job%20Listing
CV Good Fellas Indonesia,Human Resource Manager,Surabaya,"IDR 6,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/human-resource-manager-4516331?jobId=jobstreet-id-job-4516331&sectionRank=1549&token=0~5e3009b4-0c2b-4505-85fd-88b25abb3cb1&fr=SRP%20Job%20Listing
CV Teguh Semesta Karya,Staff Admin Marketing,Jakarta Raya,"IDR 3,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/staff-admin-marketing-4514757?jobId=jobstreet-id-job-4514757&sectionRank=1670&token=0~b43f8ea0-227b-4f79-8707-1fe18b860b53&fr=SRP%20Job%20Listing
Haideo,LEGAL OFFICER,Makassar,"IDR 3,500,000 - IDR 3,600,000",https://www.jobstreet.co.id/id/job/legal-officer-4517426?jobId=jobstreet-id-job-4517426&sectionRank=1704&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
PT PATINA DEKORATIF INDONESIA,FINANCE ACCOUNTING TAX & BUSINESS SUPPORT,Jakarta Selatan,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/finance-accounting-tax-business-support-4518738?jobId=jobstreet-id-job-4518738&sectionRank=648&token=0~29cd02b4-34e8-4cc4-b20a-a31d03be727e&fr=SRP%20Job%20Listing
Zenbu Restaurant,Leader Restaurant,Jakarta Raya,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/leader-restaurant-4517507?jobId=jobstreet-id-job-4517507&sectionRank=801&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
"JIANGSU DONGCHENG M&E TOOLS CO., LTD.",Sales Manager(Power tools),Semarang,"IDR 15,000,000 - IDR 25,000,000",https://www.jobstreet.co.id/id/job/sales-manager-power-tools-5581804/origin/my?jobId=jobstreet-my-job-5581804&sectionRank=166&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT Andalan Anak Bangsa (KPSG),"PERAWAT: IPD, OPD, Endoskopi, IGD, ICU, & OT (Surabaya)",Surabaya,"IDR 4,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/perawat%3A-ipd-opd-endoskopi-igd-icu-ot-surabaya-4518001?jobId=jobstreet-id-job-4518001&sectionRank=895&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
CV Metal Moulding Indonesia,Supervisor Workshop (Mouldmaker),Sidoarjo,"IDR 6,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/supervisor-workshop-mouldmaker-4516646?jobId=jobstreet-id-job-4516646&sectionRank=1643&token=0~1d08b392-603d-4cf8-be40-3438bb9b0397&fr=SRP%20Job%20Listing
PT Plus One Group Indonesia,E-Commerce Specialist,Jakarta Utara,"IDR 5,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/e-commerce-specialist-4518940?jobId=jobstreet-id-job-4518940&sectionRank=291&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
Kuze Original,Creative Content Strategist,Jakarta Pusat,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/creative-content-strategist-4517654?jobId=jobstreet-id-job-4517654&sectionRank=896&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT. KALIMAS SARANA SUPLINDO,CUSTOMER RELATION OFFICER,Jakarta Timur,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/customer-relation-officer-4514391?jobId=jobstreet-id-job-4514391&sectionRank=141&token=0~958bc18d-13dc-4bd8-a7c4-bbbdacfd70ce&fr=SRP%20Job%20Listing
PT Altima Mandiri,AST. SPV WAREHOUSE,Tangerang,"IDR 4,000,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/ast.-spv-warehouse-4518898?jobId=jobstreet-id-job-4518898&sectionRank=18&token=0~c3cc334b-459c-4821-a769-8334fd2ef181&fr=SRP%20Job%20Listing
PT RAPIK KARYA MANDIRI,General Affairs & Support Officer,Jawa Barat,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/general-affairs-support-officer-4518339?jobId=jobstreet-id-job-4518339&sectionRank=588&token=0~dfc31a67-8fac-4af6-bf91-034f9be4e42f&fr=SRP%20Job%20Listing
PT LEIT Universal Visioner (Billion Innovation Group),"Corporate Assistant (Academic, Administration, Company representative)",Jakarta Barat,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/corporate-assistant-academic-administration-company-representative-4517961?jobId=jobstreet-id-job-4517961&sectionRank=293&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
Sumber Geotehnik,Finance Controller,Jakarta Pusat,"IDR 8,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/finance-controller-4517415?jobId=jobstreet-id-job-4517415&sectionRank=530&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
PT BRINGIN KARYA SEJAHTERA,STAFF HSE (Penempatan Bandung),Bandung,"IDR 4,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/staff-hse-penempatan-bandung-4515435?jobId=jobstreet-id-job-4515435&sectionRank=1494&token=0~39aee3b0-1669-4866-a268-361e61dec0c5&fr=SRP%20Job%20Listing
PT PERMODALAN NASIONAL MADANI,Pelaksana Legal,Purwokerto,"IDR 2,200,000 - IDR 3,080,000",https://www.jobstreet.co.id/id/job/pelaksana-legal-4515375?jobId=jobstreet-id-job-4515375&sectionRank=1582&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Sistem Manajemen Dewarangga,Admin Finance,Jakarta Selatan,"IDR 4,900,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/admin-finance-4516909?jobId=jobstreet-id-job-4516909&sectionRank=20&token=0~c3cc334b-459c-4821-a769-8334fd2ef181&fr=SRP%20Job%20Listing
RGF HR Agent Indonesia,Corporate IT Infrastructure Supervisor - Manufacturing - Cikarang (A-100024),Cikarang,"IDR 13,000,000 - IDR 16,000,000",https://www.jobstreet.co.id/id/job/corporate-it-infrastructure-supervisor-manufacturing-cikarang-a-100024-4518063?jobId=jobstreet-id-job-4518063&sectionRank=169&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT Resource Alam Indonesia (Kurnia Kapuas Utama Glue Ind),General Manager for MALL AND SUPER MALL AT PONTIANAK KALIMANTAN,Pontianak,"IDR 30,000,000 - IDR 42,000,000",https://www.jobstreet.co.id/id/job/general-manager-for-mall-and-super-mall-at-pontianak-kalimantan-4519058?jobId=jobstreet-id-job-4519058&sectionRank=531&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
PT. Waktu Cipta Dimensi,Sales Market Place,Jakarta Barat,"IDR 4,600,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-market-place-4516937?jobId=jobstreet-id-job-4516937&sectionRank=1673&token=0~b43f8ea0-227b-4f79-8707-1fe18b860b53&fr=SRP%20Job%20Listing
PT Prospera,Sosial Media Digital Marketing Tangerang Citra Balaraja Cikupa Karawaci Bitung,Tangerang,"IDR 3,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sosial-media-digital-marketing-tangerang-citra-balaraja-cikupa-karawaci-bitung-4518989?jobId=jobstreet-id-job-4518989&sectionRank=470&token=0~fa33a9c2-ef25-4896-ae6f-cb49ef52425e&fr=SRP%20Job%20Listing
PT Siba Surya,Staf Training Development,Semarang,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/staf-training-development-4518210?jobId=jobstreet-id-job-4518210&sectionRank=321&token=0~216fad1f-2284-41a8-b169-81337b034e9c&fr=SRP%20Job%20Listing
PT ORI POLYTEC COMPOSITE,QC Jr. Manager,Bekasi,"IDR 10,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/qc-jr.-manager-4515387?jobId=jobstreet-id-job-4515387&sectionRank=925&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
"Hasjrat Multifinance, PT",HR Admin (Internship),Jakarta Pusat,IDR 3 - IDR 4,https://www.jobstreet.co.id/id/job/hr-admin-internship-4516661?jobId=jobstreet-id-job-4516661&sectionRank=560&token=0~34ba7601-569b-43b3-a8ca-6dbf5ca09d7e&fr=SRP%20Job%20Listing
PT Mindo Small Business Solution,TECHNICAL ANALYST,Yogyakarta,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/technical-analyst-4516556?jobId=jobstreet-id-job-4516556&sectionRank=235&token=0~af8a99b7-4565-4a40-a9a2-75a6e3bca5c9&fr=SRP%20Job%20Listing
PT Medipath Biosains Indonesia,PENANGGUNG JAWAB TEKNIS ALAT KESEHATAN (Khusus PJT ALKES),Jakarta Timur,"IDR 6,000,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/penanggung-jawab-teknis-alat-kesehatan-khusus-pjt-alkes-4518050?jobId=jobstreet-id-job-4518050&sectionRank=84&token=0~85db8393-1492-42e2-bac0-a5a10ccbf14f&fr=SRP%20Job%20Listing
PT Cheetham Garam Indonesia,Retail Admin Sales Staff  (Location : Sentul Industrial Estate),Cibinong,"IDR 4,800,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/retail-admin-sales-staff-location-%3A-sentul-industrial-estate-4515297?jobId=jobstreet-id-job-4515297&sectionRank=1552&token=0~5e3009b4-0c2b-4505-85fd-88b25abb3cb1&fr=SRP%20Job%20Listing
PT Tirta Rindang Unggul Ekatama Finance (TRUE FINANCE),Staff Admin - Indragiri Hulu,Riau,"IDR 2,500,000 - IDR 3,000,000",https://www.jobstreet.co.id/id/job/staff-admin-indragiri-hulu-4513944?jobId=jobstreet-id-job-4513944&sectionRank=1311&token=0~a22ac313-8f6f-48d8-9304-5d2499f6bb7f&fr=SRP%20Job%20Listing
PT YUXI Jayatama Indonesia,KOL's Business Development,Jakarta Utara,"IDR 6,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/kol%27s-business-development-4519014?jobId=jobstreet-id-job-4519014&sectionRank=444&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT Sinar Mutiara Cakrabuana,HR Officer,Jakarta Pusat,"IDR 4,000,000 - IDR 4,700,000",https://www.jobstreet.co.id/id/job/hr-officer-4517027?jobId=jobstreet-id-job-4517027&sectionRank=770&token=0~fb765531-069c-4b8a-93f7-1cfabaa92c85&fr=SRP%20Job%20Listing
Stella Gracia School Lombok,School Principal (Kepala Sekolah),Nusa Tenggara Barat,"IDR 8,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/school-principal-kepala-sekolah-4517009?jobId=jobstreet-id-job-4517009&sectionRank=170&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT Galva Galindra Multi Cipta,Audio Engineer Jakarta,Jakarta Pusat,"IDR 6,000,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/audio-engineer-jakarta-4518089?jobId=jobstreet-id-job-4518089&sectionRank=687&token=0~fbd4efba-d1c5-49de-ac6d-03068cdff40a&fr=SRP%20Job%20Listing
PT Giesecke & Devrient Indonesia,IT Software Support,Banten,"IDR 4,900,000 - IDR 6,860,000",https://www.jobstreet.co.id/id/job/it-software-support-4518005?jobId=jobstreet-id-job-4518005&sectionRank=85&token=0~85db8393-1492-42e2-bac0-a5a10ccbf14f&fr=SRP%20Job%20Listing
Nanyang Food Management,Business Development Manager 招商经理,Jakarta Barat,"IDR 10,000,000 - IDR 15,000,000",https://www.jobstreet.co.id/id/job/business-development-manager-%E6%8B%9B%E5%95%86%E7%BB%8F%E7%90%86-4518194?jobId=jobstreet-id-job-4518194&sectionRank=1584&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Pembangunan Sarana Perkasa,Cost Estimation Controller,Jakarta Selatan,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/cost-estimation-controller-4516475?jobId=jobstreet-id-job-4516475&sectionRank=115&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
Bio Healing Center,Content Strategist,Jakarta Raya,"IDR 8,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/content-strategist-4519037?jobId=jobstreet-id-job-4519037&sectionRank=445&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT Neuroteknologi Edukasi Indonesia,Admin Customer Support,Jakarta Raya,"IDR 5,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/admin-customer-support-4517560?jobId=jobstreet-id-job-4517560&sectionRank=22&token=0~c3cc334b-459c-4821-a769-8334fd2ef181&fr=SRP%20Job%20Listing
PT Multi Karya Garmentexindo,Creative Director,Tangerang,"IDR 5,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/creative-director-4519038?jobId=jobstreet-id-job-4519038&sectionRank=688&token=0~fbd4efba-d1c5-49de-ac6d-03068cdff40a&fr=SRP%20Job%20Listing
PT Japan Elevator Service Indonesia,Teknisi Maintenance Elevator & Escalator,Jakarta Pusat,"IDR 4,902,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/teknisi-maintenance-elevator-escalator-4517865?jobId=jobstreet-id-job-4517865&sectionRank=171&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT. Gama Agro Sejati,SUPERVISOR LOGISTIK,Semarang,"IDR 4,500,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/supervisor-logistik-4517256?jobId=jobstreet-id-job-4517256&sectionRank=807&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT. MULTI PRESTASI MAS,Customer Relationship Officer,Jakarta Utara,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/customer-relationship-officer-4515927?jobId=jobstreet-id-job-4515927&sectionRank=1730&token=0~63393472-20fd-44ae-8fab-a1c860801c2d&fr=SRP%20Job%20Listing
MADSQUARE CHARIS INDONESIA,Live Streaming Producer,Jakarta Raya,"IDR 9,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/live-streaming-producer-4518216?jobId=jobstreet-id-job-4518216&sectionRank=116&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT Sumber Boga Indonesia,Forman Produksi (Mandor Produksi),Jakarta Utara,"IDR 4,500,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/forman-produksi-mandor-produksi-4517914?jobId=jobstreet-id-job-4517914&sectionRank=1137&token=0~7685761f-7cd2-460e-bd30-c338616c3175&fr=SRP%20Job%20Listing
Universal Music Group,Office Administrator & Receptionist,Jakarta Raya,"IDR 4,800,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/office-administrator-receptionist-11103936/origin/sg?jobId=jobstreet-sg-job-11103936&sectionRank=86&token=0~85db8393-1492-42e2-bac0-a5a10ccbf14f&fr=SRP%20Job%20Listing
